wave,variable,estimate,lci,uci,type,est_ci,n
8,age,66.9,66.4,67.5,Continuous,"66.9 (66.4, 67.5)",3333
9,age,68,67.5,68.5,Continuous,"68 (67.5, 68.5)",3372
10,age,66.4,65.9,66.9,Continuous,"66.4 (65.9, 66.9)",4449
11,age,67.1,66.6,67.6,Continuous,"67.1 (66.6, 67.6)",4470
12,age,68.2,67.7,68.6,Continuous,"68.2 (67.7, 68.6)",4375
13,age,66.6,66.2,67.1,Continuous,"66.6 (66.2, 67.1)",5259
8,medication_bp,72.5,70.5,74.4,Proportion,"72.5 (70.5, 74.4)",3333
8,medication_dm,84.4,82.7,86,Proportion,"84.4 (82.7, 86)",3333
8,rxhchol,62.7,60.5,64.8,Proportion,"62.7 (60.5, 64.8)",3333
8,rxstrok,4.4,3.7,5.3,Proportion,"4.4 (3.7, 5.3)",3333
8,rxangina,8.1,7.1,9.1,Proportion,"8.1 (7.1, 9.1)",3333
8,rxchf,6.4,5.5,7.4,Proportion,"6.4 (5.5, 7.4)",3333
8,rxhrtat,3.3,2.7,4.1,Proportion,"3.3 (2.7, 4.1)",3333
8,rxheart,23,21.5,24.6,Proportion,"23 (21.5, 24.6)",3333
8,race_black,15,13,17.3,Proportion,"15 (13, 17.3)",3333
8,race_hispanic,7.4,6.2,8.9,Proportion,"7.4 (6.2, 8.9)",3333
9,medication_bp,74.1,71.9,76.2,Proportion,"74.1 (71.9, 76.2)",3372
9,medication_dm,84.3,82.6,85.9,Proportion,"84.3 (82.6, 85.9)",3372
9,rxhchol,66.2,63.8,68.5,Proportion,"66.2 (63.8, 68.5)",3372
9,rxstrok,4.1,3.3,5.1,Proportion,"4.1 (3.3, 5.1)",3372
9,rxangina,7,6,8.3,Proportion,"7 (6, 8.3)",3372
9,rxchf,6.1,5.4,6.9,Proportion,"6.1 (5.4, 6.9)",3372
9,rxhrtat,3.1,2.5,3.8,Proportion,"3.1 (2.5, 3.8)",3372
9,rxheart,23.6,21.9,25.3,Proportion,"23.6 (21.9, 25.3)",3372
9,race_black,14.6,12.6,16.8,Proportion,"14.6 (12.6, 16.8)",3372
9,race_hispanic,7.6,6.3,9.2,Proportion,"7.6 (6.3, 9.2)",3372
10,medication_bp,74.1,72.1,76,Proportion,"74.1 (72.1, 76)",4449
10,medication_dm,81.7,80,83.2,Proportion,"81.7 (80, 83.2)",4449
10,rxhchol,66.8,65,68.6,Proportion,"66.8 (65, 68.6)",4449
10,rxstrok,3.9,3.3,4.7,Proportion,"3.9 (3.3, 4.7)",4449
10,rxangina,3.5,2.8,4.3,Proportion,"3.5 (2.8, 4.3)",4449
10,rxchf,4.9,4.2,5.7,Proportion,"4.9 (4.2, 5.7)",4449
10,rxhrtat,4.3,3.6,5.2,Proportion,"4.3 (3.6, 5.2)",4449
10,rxheart,21.8,20.3,23.3,Proportion,"21.8 (20.3, 23.3)",4449
10,race_black,14.6,12.7,16.7,Proportion,"14.6 (12.7, 16.7)",4449
10,race_hispanic,8.8,7.6,10.2,Proportion,"8.8 (7.6, 10.2)",4449
11,medication_bp,74.7,72.8,76.5,Proportion,"74.7 (72.8, 76.5)",4470
11,medication_dm,79.6,77.6,81.4,Proportion,"79.6 (77.6, 81.4)",4470
11,rxhchol,68.4,66.6,70.2,Proportion,"68.4 (66.6, 70.2)",4470
11,rxstrok,3.9,3.3,4.6,Proportion,"3.9 (3.3, 4.6)",4470
11,rxangina,3.4,2.7,4.2,Proportion,"3.4 (2.7, 4.2)",4470
