variable,estimate,lci,uci,type,group,est_ci,gender
age,72.2,71.9,72.5,Continuous,NA,"72.2 (71.9, 72.5)",Total
hh_size,2.2,2.1,2.2,Continuous,NA,"2.2 (2.1, 2.2)",Total
hh_children,3.3,3.2,3.4,Continuous,NA,"3.3 (3.2, 3.4)",Total
lengthmar,40.7,39.6,41.8,Continuous,NA,"40.7 (39.6, 41.8)",Total
bmi,31.7,31.5,32,Continuous,NA,"31.7 (31.5, 32)",Total
height,1.7,1.7,1.7,Continuous,NA,"1.7 (1.7, 1.7)",Total
weight,87.2,86.4,87.9,Continuous,NA,"87.2 (86.4, 87.9)",Total
waistcircumference,108.6,107.9,109.2,Continuous,NA,"108.6 (107.9, 109.2)",Total
adl_some6,0.5,0.5,0.5,Continuous,NA,"0.5 (0.5, 0.5)",Total
iadl_some4,0.3,0.3,0.3,Continuous,NA,"0.3 (0.3, 0.3)",Total
a1c_adj,6.7,6.7,6.8,Continuous,NA,"6.7 (6.7, 6.8)",Total
sbp,132.6,131.8,133.3,Continuous,NA,"132.6 (131.8, 133.3)",Total
dbp,76.6,76,77.1,Continuous,NA,"76.6 (76, 77.1)",Total
tc_adj,182.7,180.7,184.6,Continuous,NA,"182.7 (180.7, 184.6)",Total
hdl_adj,50.3,49.4,51.2,Continuous,NA,"50.3 (49.4, 51.2)",Total
nfalls,1.2,1.1,1.3,Continuous,NA,"1.2 (1.1, 1.3)",Total
fu_nfalls,1.4,1.2,1.6,Continuous,NA,"1.4 (1.2, 1.6)",Total
agediagnosed_dm,62.3,61.8,62.8,Continuous,NA,"62.3 (61.8, 62.8)",Total
moderate_pa,2,1.9,2.1,Continuous,NA,"2 (1.9, 2.1)",Total
vigorous_pa,0.8,0.7,0.8,Continuous,NA,"0.8 (0.7, 0.8)",Total
polypharmacy,3.6,3.5,3.6,Continuous,NA,"3.6 (3.5, 3.6)",Total
medication_bp,76.9,74.5,79.1,Proportion,NA,"76.9 (74.5, 79.1)",Total
medication_dm,79.9,78,81.6,Proportion,NA,"79.9 (78, 81.6)",Total
rxdiabi,18.6,16.9,20.5,Proportion,NA,"18.6 (16.9, 20.5)",Total
rxdiabo,72.7,70.4,74.8,Proportion,NA,"72.7 (70.4, 74.8)",Total
rxstrok,3.7,2.9,4.7,Proportion,NA,"3.7 (2.9, 4.7)",Total
rxangina,4.9,4,5.9,Proportion,NA,"4.9 (4, 5.9)",Total
rxchf,5.2,4.4,6.1,Proportion,NA,"5.2 (4.4, 6.1)",Total
rxarthr,29.3,27.3,31.4,Proportion,NA,"29.3 (27.3, 31.4)",Total
rxlung,7.7,6.5,9,Proportion,NA,"7.7 (6.5, 9)",Total
rxpsych,13.6,12,15.4,Proportion,NA,"13.6 (12, 15.4)",Total
rxcancr,0.7,0.4,1.2,Proportion,NA,"0.7 (0.4, 1.2)",Total
rxhrtat,2.8,2.1,3.6,Proportion,NA,"2.8 (2.1, 3.6)",Total
rxheart,25.6,23.2,28.1,Proportion,NA,"25.6 (23.2, 28.1)",Total
diagnosed_bp,79,77,80.9,Proportion,NA,"79 (77, 80.9)",Total
htn,84.4,82.7,86,Proportion,NA,"84.4 (82.7, 86)",Total
alzh_demen,2.1,1.5,3,Proportion,NA,"2.1 (1.5, 3)",Total
bmi_underweight,0.3,0.1,0.6,Proportion,NA,"0.3 (0.1, 0.6)",Total
bmi_overweight,30.1,27.7,32.6,Proportion,NA,"30.1 (27.7, 32.6)",Total
bmi_obese,58.7,56.5,60.8,Proportion,NA,"58.7 (56.5, 60.8)",Total
fall_any,39.9,38,41.7,Proportion,NA,"39.9 (38, 41.7)",Total
fall_injury,27.7,24.7,31.1,Proportion,NA,"27.7 (24.7, 31.1)",Total
fracture_hip,2.2,1.6,3,Proportion,NA,"2.2 (1.6, 3)",Total
fu_fall_any,39.2,36.6,41.8,Proportion,NA,"39.2 (36.6, 41.8)",Total
fu_fall_injury,31.1,27.8,34.6,Proportion,NA,"31.1 (27.8, 34.6)",Total
fu_fracture_hip,2.8,2.2,3.6,Proportion,NA,"2.8 (2.2, 3.6)",Total
heavydrinker,6.7,5.7,7.8,Proportion,NA,"6.7 (5.7, 7.8)",Total
vision_impairment,11.1,9.6,12.9,Proportion,NA,"11.1 (9.6, 12.9)",Total
balance_impairment,39.1,36.8,41.4,Proportion,NA,"39.1 (36.8, 41.4)",Total
married,59.7,57.6,61.8,Proportion,NA,"59.7 (57.6, 61.8)",Total
age_category,68.2,66.2,70.1,Grouped,65_74,"68.2 (66.2, 70.1)",Total
age_category,25.5,23.7,27.5,Grouped,75_84,"25.5 (23.7, 27.5)",Total
