wave,variable,estimate,lci,uci,type,est_ci,n
8,age,74.5,73.9,75.1,Continuous,"74.5 (73.9, 75.1)",822
9,age,74.5,73.9,75.1,Continuous,"74.5 (73.9, 75.1)",946
10,age,74.6,74,75.2,Continuous,"74.6 (74, 75.2)",977
11,age,73.7,73.1,74.3,Continuous,"73.7 (73.1, 74.3)",1000
12,age,74.1,73.4,74.8,Continuous,"74.1 (73.4, 74.8)",1114
13,age,74.2,73.6,74.7,Continuous,"74.2 (73.6, 74.7)",1055
8,control_joint,40,35.9,44.2,Proportion,"40 (35.9, 44.2)",730
8,control_a1c,80.6,77.5,83.3,Proportion,"80.6 (77.5, 83.3)",808
8,control_bp,62.5,58.7,66.1,Proportion,"62.5 (58.7, 66.1)",792
8,control_chol,69.9,66.5,73.2,Proportion,"69.9 (66.5, 73.2)",758
9,control_joint,37.5,33.3,42,Proportion,"37.5 (33.3, 42)",843
9,control_a1c,81.6,78.5,84.4,Proportion,"81.6 (78.5, 84.4)",933
9,control_bp,61.4,57.5,65.3,Proportion,"61.4 (57.5, 65.3)",904
9,control_chol,69.3,65.6,72.8,Proportion,"69.3 (65.6, 72.8)",886
10,control_joint,41,36.7,45.4,Proportion,"41 (36.7, 45.4)",882
10,control_a1c,82.1,79.4,84.5,Proportion,"82.1 (79.4, 84.5)",953
10,control_bp,63,58.7,67,Proportion,"63 (58.7, 67)",918
10,control_chol,75.5,72.6,78.3,Proportion,"75.5 (72.6, 78.3)",942
11,control_joint,43.3,38.7,47.9,Proportion,"43.3 (38.7, 47.9)",928
11,control_a1c,83,79.8,85.8,Proportion,"83 (79.8, 85.8)",975
11,control_bp,69,65,72.8,Proportion,"69 (65, 72.8)",955
11,control_chol,72.5,68.3,76.4,Proportion,"72.5 (68.3, 76.4)",995
12,control_joint,37.6,34.5,40.9,Proportion,"37.6 (34.5, 40.9)",1026
12,control_a1c,75,72.2,77.6,Proportion,"75 (72.2, 77.6)",1101
12,control_bp,66.6,62.5,70.4,Proportion,"66.6 (62.5, 70.4)",1072
12,control_chol,73,69,76.7,Proportion,"73 (69, 76.7)",1079
13,control_joint,40.2,35.5,45,Proportion,"40.2 (35.5, 45)",834
13,control_a1c,79.6,76.3,82.5,Proportion,"79.6 (76.3, 82.5)",902
13,control_bp,70.2,66.8,73.5,Proportion,"70.2 (66.8, 73.5)",1012
13,control_chol,70.7,66.8,74.4,Proportion,"70.7 (66.8, 74.4)",1008
