variable,estimate,lci,uci,type,group,est_ci,gender
age,73,72.5,73.6,Continuous,NA,"73 (72.5, 73.6)",Total
hh_size,1.6,1.6,1.6,Continuous,NA,"1.6 (1.6, 1.6)",Total
children,2.4,2.3,2.6,Continuous,NA,"2.4 (2.3, 2.6)",Total
lengthmar,44.6,43.1,46,Continuous,NA,"44.6 (43.1, 46)",Total
bmi,30.4,29.9,30.8,Continuous,NA,"30.4 (29.9, 30.8)",Total
height,16498.5,16413.6,16583.3,Continuous,NA,"16498.5 (16413.6, 16583.3)",Total
weight,82.9,81.4,84.4,Continuous,NA,"82.9 (81.4, 84.4)",Total
adl_some6,0.6,0.5,0.7,Continuous,NA,"0.6 (0.5, 0.7)",Total
iadl_some4,0.3,0.2,0.4,Continuous,NA,"0.3 (0.2, 0.4)",Total
hba1c,7.1,7,7.2,Continuous,NA,"7.1 (7, 7.2)",Total
sbp,135.2,133.6,136.8,Continuous,NA,"135.2 (133.6, 136.8)",Total
dbp,69.2,68.3,70.1,Continuous,NA,"69.2 (68.3, 70.1)",Total
hdl,51.6,50.3,52.9,Continuous,NA,"51.6 (50.3, 52.9)",Total
trig,162.4,156.1,168.6,Continuous,NA,"162.4 (156.1, 168.6)",Total
ldl,88.7,85.8,91.6,Continuous,NA,"88.7 (85.8, 91.6)",Total
chol,172.5,168.9,176,Continuous,NA,"172.5 (168.9, 176)",Total
nfalls,0.8,0.6,1.1,Continuous,NA,"0.8 (0.6, 1.1)",Total
fu_nfalls,1,0.6,1.4,Continuous,NA,"1 (0.6, 1.4)",Total
moderate_pa,0.4,0.4,0.5,Continuous,NA,"0.4 (0.4, 0.5)",Total
vigorous_pa,0.1,0.1,0.1,Continuous,NA,"0.1 (0.1, 0.1)",Total
polypharmacy,2.2,2.1,2.3,Continuous,NA,"2.2 (2.1, 2.3)",Total
medication_bp,48.4,44.2,52.6,Proportion,NA,"48.4 (44.2, 52.6)",Total
medication_dm,77.7,73.8,81.2,Proportion,NA,"77.7 (73.8, 81.2)",Total
rxdiabi,16.2,13.1,19.9,Proportion,NA,"16.2 (13.1, 19.9)",Total
rxdiabo,74.3,70.3,78,Proportion,NA,"74.3 (70.3, 78)",Total
rxlung,2.8,1.7,4.4,Proportion,NA,"2.8 (1.7, 4.4)",Total
rxasthma,11.3,8.7,14.5,Proportion,NA,"11.3 (8.7, 14.5)",Total
rxcancr,3.4,2.2,5.1,Proportion,NA,"3.4 (2.2, 5.1)",Total
rxbldthn,19.3,16.1,22.9,Proportion,NA,"19.3 (16.1, 22.9)",Total
rxhchol,40.7,36.6,44.9,Proportion,NA,"40.7 (36.6, 44.9)",Total
married,59.9,55.5,64.2,Proportion,NA,"59.9 (55.5, 64.2)",Total
diagnosed_bp,69.2,64.9,73.1,Proportion,NA,"69.2 (64.9, 73.1)",Total
htn,80.1,76.2,83.5,Proportion,NA,"80.1 (76.2, 83.5)",Total
alzh_demen,0,0,0,Proportion,NA,"0 (0, 0)",Total
bmi_underweight,0.5,0.1,2,Proportion,NA,"0.5 (0.1, 2)",Total
bmi_overweight,39.7,35.4,44.3,Proportion,NA,"39.7 (35.4, 44.3)",Total
bmi_obese,48.3,43.8,52.8,Proportion,NA,"48.3 (43.8, 52.8)",Total
fall_any,31.2,27.1,35.6,Proportion,NA,"31.2 (27.1, 35.6)",Total
fall_injury,29.9,22.8,38.2,Proportion,NA,"29.9 (22.8, 38.2)",Total
fracture_hip,0.8,0.3,2.5,Proportion,NA,"0.8 (0.3, 2.5)",Total
fu_fall_any,36.2,32,40.6,Proportion,NA,"36.2 (32, 40.6)",Total
fu_fall_injury,35.2,27.5,43.7,Proportion,NA,"35.2 (27.5, 43.7)",Total
fu_fracture_hip,0.3,0.1,1.2,Proportion,NA,"0.3 (0.1, 1.2)",Total
heavydrinker,14.8,11.7,18.5,Proportion,NA,"14.8 (11.7, 18.5)",Total
vision_impairment,7.5,5.3,10.4,Proportion,NA,"7.5 (5.3, 10.4)",Total
balance_impairment,69.4,64.3,74.1,Proportion,NA,"69.4 (64.3, 74.1)",Total
age_category,61.8,57.4,66.1,Grouped,65_74,"61.8 (57.4, 66.1)",Total
age_category,33.1,29.1,37.4,Grouped,75_84,"33.1 (29.1, 37.4)",Total
age_category,5,3.2,7.8,Grouped,85_over,"5 (3.2, 7.8)",Total
bmi_category,0.5,0.1,2,Grouped,Underweight,"0.5 (0.1, 2)",Total
bmi_category,11.4,8.9,14.5,Grouped,Normal,"11.4 (8.9, 14.5)",Total
bmi_category,39.7,35.4,44.3,Grouped,Overweight,"39.7 (35.4, 44.3)",Total
bmi_category,48.3,43.8,52.8,Grouped,Obese,"48.3 (43.8, 52.8)",Total
education_h,50.7,46,55.3,Grouped,Less than lower secondary,"50.7 (46, 55.3)",Total
education_h,9.4,7.3,12.2,Grouped,Tertiary,"9.4 (7.3, 12.2)",Total
education_h,39.9,35.5,44.4,Grouped,Upper secondary and vocational training,"39.9 (35.5, 44.4)",Total
hh_wealthquintile,23.3,19.6,27.4,Grouped,Lowest,"23.3 (19.6, 27.4)",Total
hh_wealthquintile,22.8,19.2,26.8,Grouped,Low,"22.8 (19.2, 26.8)",Total
hh_wealthquintile,19.4,16.3,22.9,Grouped,Medium,"19.4 (16.3, 22.9)",Total
hh_wealthquintile,19,15.8,22.7,Grouped,High,"19 (15.8, 22.7)",Total
hh_wealthquintile,15.6,12.8,18.8,Grouped,Highest,"15.6 (12.8, 18.8)",Total
smoke,31.3,27.3,35.5,Grouped,Never,"31.3 (27.3, 35.5)",Total
smoke,58.4,53.9,62.7,Grouped,Former,"58.4 (53.9, 62.7)",Total
smoke,10.4,7.8,13.6,Grouped,Current,"10.4 (7.8, 13.6)",Total
laborforce,8.5,6.1,11.7,Grouped,None,"8.5 (6.1, 11.7)",Total
laborforce,5.3,3.7,7.4,Grouped,Formal,"5.3 (3.7, 7.4)",Total
laborforce,86.2,82.7,89.1,Grouped,Retired,"86.2 (82.7, 89.1)",Total
race,5.1,3.3,7.9,Grouped,Non-White,"5.1 (3.3, 7.9)",Total
race,94.9,92.1,96.7,Grouped,White,"94.9 (92.1, 96.7)",Total
age,73.9,72.9,74.8,Continuous,NA,"73.9 (72.9, 74.8)",Female
hh_size,1.5,1.4,1.6,Continuous,NA,"1.5 (1.4, 1.6)",Female
children,2.6,2.3,2.8,Continuous,NA,"2.6 (2.3, 2.8)",Female
lengthmar,46.6,44.1,49.1,Continuous,NA,"46.6 (44.1, 49.1)",Female
bmi,31,30.3,31.7,Continuous,NA,"31 (30.3, 31.7)",Female
height,15834.9,15754.6,15915.2,Continuous,NA,"15834.9 (15754.6, 15915.2)",Female
weight,77.8,75.7,79.8,Continuous,NA,"77.8 (75.7, 79.8)",Female
adl_some6,0.7,0.5,0.9,Continuous,NA,"0.7 (0.5, 0.9)",Female
iadl_some4,0.4,0.3,0.6,Continuous,NA,"0.4 (0.3, 0.6)",Female
hba1c,7.2,7,7.3,Continuous,NA,"7.2 (7, 7.3)",Female
sbp,134.5,131.9,137.2,Continuous,NA,"134.5 (131.9, 137.2)",Female
dbp,68.9,67.4,70.3,Continuous,NA,"68.9 (67.4, 70.3)",Female
hdl,55.3,53.5,57,Continuous,NA,"55.3 (53.5, 57)",Female
trig,163.5,154.4,172.7,Continuous,NA,"163.5 (154.4, 172.7)",Female
ldl,90.3,86,94.5,Continuous,NA,"90.3 (86, 94.5)",Female
chol,178,172.9,183,Continuous,NA,"178 (172.9, 183)",Female
nfalls,0.8,0.5,1.1,Continuous,NA,"0.8 (0.5, 1.1)",Female
fu_nfalls,1.1,0.4,1.8,Continuous,NA,"1.1 (0.4, 1.8)",Female
moderate_pa,0.4,0.3,0.4,Continuous,NA,"0.4 (0.3, 0.4)",Female
vigorous_pa,0.1,0,0.1,Continuous,NA,"0.1 (0, 0.1)",Female
polypharmacy,2.2,2,2.3,Continuous,NA,"2.2 (2, 2.3)",Female
age,72.2,71.5,73,Continuous,NA,"72.2 (71.5, 73)",Male
hh_size,1.7,1.7,1.8,Continuous,NA,"1.7 (1.7, 1.8)",Male
children,2.3,2.1,2.5,Continuous,NA,"2.3 (2.1, 2.5)",Male
lengthmar,43.3,41.4,45.2,Continuous,NA,"43.3 (41.4, 45.2)",Male
bmi,29.8,29.1,30.4,Continuous,NA,"29.8 (29.1, 30.4)",Male
height,17150.5,17060.1,17241,Continuous,NA,"17150.5 (17060.1, 17241)",Male
weight,87.7,85.6,89.8,Continuous,NA,"87.7 (85.6, 89.8)",Male
adl_some6,0.5,0.4,0.6,Continuous,NA,"0.5 (0.4, 0.6)",Male
iadl_some4,0.1,0.1,0.2,Continuous,NA,"0.1 (0.1, 0.2)",Male
hba1c,7,6.8,7.1,Continuous,NA,"7 (6.8, 7.1)",Male
sbp,135.9,133.9,137.9,Continuous,NA,"135.9 (133.9, 137.9)",Male
dbp,69.5,68.2,70.9,Continuous,NA,"69.5 (68.2, 70.9)",Male
hdl,47.9,46,49.8,Continuous,NA,"47.9 (46, 49.8)",Male
trig,161.2,152,170.4,Continuous,NA,"161.2 (152, 170.4)",Male
ldl,87.1,82.9,91.2,Continuous,NA,"87.1 (82.9, 91.2)",Male
chol,166.9,161.7,172.1,Continuous,NA,"166.9 (161.7, 172.1)",Male
nfalls,0.9,0.4,1.4,Continuous,NA,"0.9 (0.4, 1.4)",Male
fu_nfalls,0.9,0.5,1.3,Continuous,NA,"0.9 (0.5, 1.3)",Male
moderate_pa,0.5,0.5,0.6,Continuous,NA,"0.5 (0.5, 0.6)",Male
vigorous_pa,0.2,0.1,0.2,Continuous,NA,"0.2 (0.1, 0.2)",Male
polypharmacy,2.1,2,2.3,Continuous,NA,"2.1 (2, 2.3)",Male
medication_bp,50.9,44.4,57.4,Proportion,NA,"50.9 (44.4, 57.4)",Female
medication_dm,75.8,69.6,81.2,Proportion,NA,"75.8 (69.6, 81.2)",Female
rxdiabi,17.3,12.5,23.6,Proportion,NA,"17.3 (12.5, 23.6)",Female
rxdiabo,73.5,67.1,79,Proportion,NA,"73.5 (67.1, 79)",Female
rxlung,2.3,1,5,Proportion,NA,"2.3 (1, 5)",Female
rxasthma,12.5,8.7,17.5,Proportion,NA,"12.5 (8.7, 17.5)",Female
rxcancr,3.3,1.7,6.1,Proportion,NA,"3.3 (1.7, 6.1)",Female
rxbldthn,15.4,11.1,20.9,Proportion,NA,"15.4 (11.1, 20.9)",Female
rxhchol,43.2,37.1,49.6,Proportion,NA,"43.2 (37.1, 49.6)",Female
married,46.3,39.5,53.2,Proportion,NA,"46.3 (39.5, 53.2)",Female
diagnosed_bp,69.4,62.6,75.5,Proportion,NA,"69.4 (62.6, 75.5)",Female
htn,77.8,71.4,83.2,Proportion,NA,"77.8 (71.4, 83.2)",Female
alzh_demen,0,0,0,Proportion,NA,"0 (0, 0)",Female
bmi_underweight,0.6,0.1,4.1,Proportion,NA,"0.6 (0.1, 4.1)",Female
bmi_overweight,37.1,30.4,44.3,Proportion,NA,"37.1 (30.4, 44.3)",Female
bmi_obese,52,45,58.9,Proportion,NA,"52 (45, 58.9)",Female
fall_any,35.9,29.4,42.9,Proportion,NA,"35.9 (29.4, 42.9)",Female
fall_injury,40.2,29.3,52.2,Proportion,NA,"40.2 (29.3, 52.2)",Female
fracture_hip,1.5,0.4,4.9,Proportion,NA,"1.5 (0.4, 4.9)",Female
fu_fall_any,40,33.5,46.8,Proportion,NA,"40 (33.5, 46.8)",Female
fu_fall_injury,43.7,32.7,55.3,Proportion,NA,"43.7 (32.7, 55.3)",Female
fu_fracture_hip,0.4,0,2.7,Proportion,NA,"0.4 (0, 2.7)",Female
heavydrinker,10.3,6.7,15.6,Proportion,NA,"10.3 (6.7, 15.6)",Female
vision_impairment,8.4,5.1,13.7,Proportion,NA,"8.4 (5.1, 13.7)",Female
balance_impairment,60.7,51.6,69.1,Proportion,NA,"60.7 (51.6, 69.1)",Female
medication_bp,45.8,39.7,52,Proportion,NA,"45.8 (39.7, 52)",Male
medication_dm,79.6,73.8,84.3,Proportion,NA,"79.6 (73.8, 84.3)",Male
rxdiabi,15,11.1,20,Proportion,NA,"15 (11.1, 20)",Male
rxdiabo,75.2,69.2,80.4,Proportion,NA,"75.2 (69.2, 80.4)",Male
rxlung,3.3,1.7,6.4,Proportion,NA,"3.3 (1.7, 6.4)",Male
rxasthma,10,6.6,14.9,Proportion,NA,"10 (6.6, 14.9)",Male
rxcancr,3.6,1.9,6.6,Proportion,NA,"3.6 (1.9, 6.6)",Male
rxbldthn,23.2,18.4,28.8,Proportion,NA,"23.2 (18.4, 28.8)",Male
rxhchol,38.1,32.1,44.4,Proportion,NA,"38.1 (32.1, 44.4)",Male
married,73.7,67.7,79,Proportion,NA,"73.7 (67.7, 79)",Male
diagnosed_bp,68.9,62.8,74.4,Proportion,NA,"68.9 (62.8, 74.4)",Male
htn,82.3,76.9,86.7,Proportion,NA,"82.3 (76.9, 86.7)",Male
alzh_demen,0,0,0,Proportion,NA,"0 (0, 0)",Male
bmi_underweight,0.5,0.1,3.4,Proportion,NA,"0.5 (0.1, 3.4)",Male
bmi_overweight,42.4,35.9,49,Proportion,NA,"42.4 (35.9, 49)",Male
bmi_obese,44.7,38.3,51.4,Proportion,NA,"44.7 (38.3, 51.4)",Male
fall_any,26.4,21.3,32.3,Proportion,NA,"26.4 (21.3, 32.3)",Male
fall_injury,15.7,8.3,27.8,Proportion,NA,"15.7 (8.3, 27.8)",Male
fracture_hip,0.2,0,1.4,Proportion,NA,"0.2 (0, 1.4)",Male
fu_fall_any,32.3,26.5,38.7,Proportion,NA,"32.3 (26.5, 38.7)",Male
fu_fall_injury,24.6,15,37.7,Proportion,NA,"24.6 (15, 37.7)",Male
fu_fracture_hip,0.3,0.1,1.3,Proportion,NA,"0.3 (0.1, 1.3)",Male
heavydrinker,19.1,14.1,25.2,Proportion,NA,"19.1 (14.1, 25.2)",Male
vision_impairment,6.5,4,10.5,Proportion,NA,"6.5 (4, 10.5)",Male
balance_impairment,76,69.4,81.5,Proportion,NA,"76 (69.4, 81.5)",Male
age_category,54.9,48.2,61.5,Grouped,65_74,"54.9 (48.2, 61.5)",Female
age_category,38.9,32.5,45.6,Grouped,75_84,"38.9 (32.5, 45.6)",Female
age_category,6.2,3.3,11.3,Grouped,85_over,"6.2 (3.3, 11.3)",Female
age_category,68.8,62.6,74.4,Grouped,65_74,"68.8 (62.6, 74.4)",Male
age_category,27.3,22.1,33.3,Grouped,75_84,"27.3 (22.1, 33.3)",Male
age_category,3.9,2,7.3,Grouped,85_over,"3.9 (2, 7.3)",Male
bmi_category,0.6,0.1,3.9,Grouped,Underweight,"0.6 (0.1, 3.9)",Female
bmi_category,10.4,7.1,14.9,Grouped,Normal,"10.4 (7.1, 14.9)",Female
bmi_category,37.1,30.5,44.1,Grouped,Overweight,"37.1 (30.5, 44.1)",Female
bmi_category,52,45.1,58.8,Grouped,Obese,"52 (45.1, 58.8)",Female
bmi_category,0.5,0.1,3.3,Grouped,Underweight,"0.5 (0.1, 3.3)",Male
bmi_category,12.5,8.6,17.6,Grouped,Normal,"12.5 (8.6, 17.6)",Male
bmi_category,42.4,36,48.9,Grouped,Overweight,"42.4 (36, 48.9)",Male
bmi_category,44.7,38.3,51.3,Grouped,Obese,"44.7 (38.3, 51.3)",Male
education_h,68.3,61.6,74.2,Grouped,Less than lower secondary,"68.3 (61.6, 74.2)",Female
education_h,4.1,2.2,7.4,Grouped,Tertiary,"4.1 (2.2, 7.4)",Female
education_h,27.7,22.1,34,Grouped,Upper secondary and vocational training,"27.7 (22.1, 34)",Female
