variable,group,HRS_Total,HRS_Male,HRS_Female,ELSA_Total,ELSA_Male,ELSA_Female
age,NA,"72.2 (71.9, 72.5)","71.9 (71.5, 72.3)","72.4 (72.1, 72.8)","73 (72.5, 73.6)","72.2 (71.5, 73)","73.9 (72.9, 74.8)"
hh_size,NA,"2.2 (2.1, 2.2)","2.2 (2.2, 2.3)","2.1 (2, 2.2)","1.6 (1.6, 1.6)","1.7 (1.7, 1.8)","1.5 (1.4, 1.6)"
hh_children,NA,"3.3 (3.2, 3.4)","3.3 (3.2, 3.5)","3.4 (3.2, 3.5)","2.4 (2.3, 2.6)","2.3 (2.1, 2.5)","2.6 (2.3, 2.8)"
lengthmar,NA,"40.7 (39.6, 41.8)","39.7 (38.4, 40.9)","42.4 (41, 43.8)","44.6 (43.1, 46)","43.3 (41.4, 45.2)","46.6 (44.1, 49.1)"
bmi,NA,"31.7 (31.5, 32)","31.2 (30.9, 31.5)","32.2 (31.8, 32.6)","30.4 (29.9, 30.8)","29.8 (29.1, 30.4)","31 (30.3, 31.7)"
height,NA,"1.7 (1.7, 1.7)","1.7 (1.7, 1.7)","1.6 (1.6, 1.6)","16498.5 (16413.6, 16583.3)","17150.5 (17060.1, 17241)","15834.9 (15754.6, 15915.2)"
weight,NA,"87.2 (86.4, 87.9)","94 (93, 95)","81 (79.9, 82.1)","82.9 (81.4, 84.4)","87.7 (85.6, 89.8)","77.8 (75.7, 79.8)"
waistcircumference,NA,"108.6 (107.9, 109.2)","110.8 (109.9, 111.8)","106.5 (105.5, 107.6)",NA,NA,NA
adl_some6,NA,"0.5 (0.5, 0.5)","0.4 (0.3, 0.4)","0.6 (0.5, 0.7)","0.6 (0.5, 0.7)","0.5 (0.4, 0.6)","0.7 (0.5, 0.9)"
iadl_some4,NA,"0.3 (0.3, 0.3)","0.2 (0.2, 0.3)","0.4 (0.3, 0.4)","0.3 (0.2, 0.4)","0.1 (0.1, 0.2)","0.4 (0.3, 0.6)"
hba1c,NA,"6.7 (6.7, 6.8)","6.8 (6.7, 6.9)","6.7 (6.6, 6.8)","7.1 (7, 7.2)","7 (6.8, 7.1)","7.2 (7, 7.3)"
sbp,NA,"132.6 (131.8, 133.3)","132.9 (131.7, 134)","132.3 (131.2, 133.4)","135.2 (133.6, 136.8)","135.9 (133.9, 137.9)","134.5 (131.9, 137.2)"
dbp,NA,"76.6 (76, 77.1)","76.1 (75.3, 76.8)","77 (76.3, 77.8)","69.2 (68.3, 70.1)","69.5 (68.2, 70.9)","68.9 (67.4, 70.3)"
chol,NA,"182.7 (180.7, 184.6)","179 (176.3, 181.8)","185.9 (183.1, 188.8)","172.5 (168.9, 176)","166.9 (161.7, 172.1)","178 (172.9, 183)"
hdl,NA,"50.3 (49.4, 51.2)","47.5 (46.4, 48.7)","52.9 (51.7, 54)","51.6 (50.3, 52.9)","47.9 (46, 49.8)","55.3 (53.5, 57)"
nfalls,NA,"1.2 (1.1, 1.3)","1.3 (1.1, 1.5)","1.2 (1, 1.3)","0.8 (0.6, 1.1)","0.9 (0.4, 1.4)","0.8 (0.5, 1.1)"
fu_nfalls,NA,"1.4 (1.2, 1.6)","1.6 (1.3, 1.8)","1.3 (1.1, 1.4)","1 (0.6, 1.4)","0.9 (0.5, 1.3)","1.1 (0.4, 1.8)"
agediagnosed_dm,NA,"62.3 (61.8, 62.8)","62 (61.3, 62.7)","62.6 (61.8, 63.3)",NA,NA,NA
moderate_pa,NA,"2 (1.9, 2.1)","2.2 (2.1, 2.3)","1.8 (1.7, 1.9)","0.4 (0.4, 0.5)","0.5 (0.5, 0.6)","0.4 (0.3, 0.4)"
vigorous_pa,NA,"0.8 (0.7, 0.8)","1 (0.9, 1.1)","0.6 (0.5, 0.7)","0.1 (0.1, 0.1)","0.2 (0.1, 0.2)","0.1 (0, 0.1)"
polypharmacy,NA,"3.6 (3.5, 3.6)","3.5 (3.3, 3.6)","3.6 (3.5, 3.7)","2.2 (2.1, 2.3)","2.1 (2, 2.3)","2.2 (2, 2.3)"
medication_bp,NA,"76.9 (74.5, 79.1)","73 (69, 76.6)","80.4 (78, 82.7)","48.4 (44.2, 52.6)","45.8 (39.7, 52)","50.9 (44.4, 57.4)"
medication_dm,NA,"79.9 (78, 81.6)","82.7 (79.5, 85.4)","77.3 (75, 79.5)","77.7 (73.8, 81.2)","79.6 (73.8, 84.3)","75.8 (69.6, 81.2)"
rxdiabi,NA,"18.6 (16.9, 20.5)","18.4 (15.8, 21.5)","18.8 (16.3, 21.5)","16.2 (13.1, 19.9)","15 (11.1, 20)","17.3 (12.5, 23.6)"
rxdiabo,NA,"72.7 (70.4, 74.8)","76.7 (73.3, 79.7)","69 (66.1, 71.8)","74.3 (70.3, 78)","75.2 (69.2, 80.4)","73.5 (67.1, 79)"
rxstrok,NA,"3.7 (2.9, 4.7)","4.2 (3.1, 5.7)","3.2 (2.2, 4.6)",NA,NA,NA
rxangina,NA,"4.9 (4, 5.9)","5.8 (4.4, 7.6)","4.1 (3.1, 5.3)",NA,NA,NA
rxchf,NA,"5.2 (4.4, 6.1)","5.4 (4.1, 7.2)","4.9 (3.9, 6.1)",NA,NA,NA
rxarthr,NA,"29.3 (27.3, 31.4)","23.4 (20.4, 26.7)","34.9 (31.9, 38.1)",NA,NA,NA
rxlung,NA,"7.7 (6.5, 9)","4.7 (3.5, 6.3)","10.4 (8.5, 12.7)","2.8 (1.7, 4.4)","3.3 (1.7, 6.4)","2.3 (1, 5)"
rxpsych,NA,"13.6 (12, 15.4)","8.4 (6.6, 10.7)","18.5 (16.2, 21.1)",NA,NA,NA
rxcancr,NA,"0.7 (0.4, 1.2)","0.8 (0.4, 1.6)","0.6 (0.3, 1.2)","3.4 (2.2, 5.1)","3.6 (1.9, 6.6)","3.3 (1.7, 6.1)"
rxhrtat,NA,"2.8 (2.1, 3.6)","2.8 (1.9, 4.2)","2.7 (1.9, 3.7)",NA,NA,NA
rxheart,NA,"25.6 (23.2, 28.1)","29.4 (25.7, 33.4)","22.2 (19.7, 24.9)",NA,NA,NA
diagnosed_bp,NA,"79 (77, 80.9)","75.9 (72.2, 79.3)","81.9 (79.6, 83.9)","69.2 (64.9, 73.1)","68.9 (62.8, 74.4)","69.4 (62.6, 75.5)"
htn,NA,"84.4 (82.7, 86)","82.3 (79.2, 85.1)","86.2 (84, 88.2)","80.1 (76.2, 83.5)","82.3 (76.9, 86.7)","77.8 (71.4, 83.2)"
alzh_demen,NA,"2.1 (1.5, 3)","2 (1.2, 3.1)","2.3 (1.4, 3.6)","0 (0, 0)","0 (0, 0)","0 (0, 0)"
bmi_underweight,NA,"0.3 (0.1, 0.6)","0 (0, 0.2)","0.5 (0.2, 1.2)","0.5 (0.1, 2)","0.5 (0.1, 3.4)","0.6 (0.1, 4.1)"
bmi_overweight,NA,"30.1 (27.7, 32.6)","32.7 (29.6, 35.9)","27.8 (25.1, 30.7)","39.7 (35.4, 44.3)","42.4 (35.9, 49)","37.1 (30.4, 44.3)"
bmi_obese,NA,"58.7 (56.5, 60.8)","57.8 (55.1, 60.5)","59.5 (56.4, 62.4)","48.3 (43.8, 52.8)","44.7 (38.3, 51.4)","52 (45, 58.9)"
fall_any,NA,"39.9 (38, 41.7)","38.3 (35.4, 41.2)","41.3 (38.4, 44.3)","31.2 (27.1, 35.6)","26.4 (21.3, 32.3)","35.9 (29.4, 42.9)"
