term,USA,England
Overall,"0.98 	 (0.90, 1.06)","0.98 	 (0.79, 1.21)"
HbA1c < 7%,"0.91 	 (0.83, 1.01)","1.03 	 (0.82, 1.28)"
BP < 140/90 mmHg,"0.92 	 (0.84, 1.00)","0.97 	 (0.79, 1.20)"
Cholesterol < 200 mg/dL,"1.07 	 (0.98, 1.18)","1.10 	 (0.87, 1.37)"
LDLc < 100 mg/dL,NA,"0.96 	 (0.78, 1.17)"
Joint ABC 2,NA,"0.95 	 (0.75, 1.19)"
Age < 75,"0.93 	 (0.82, 1.05)","0.96 	 (0.72, 1.29)"
Age >= 75,"1.04 	 (0.94, 1.14)","0.98 	 (0.73, 1.32)"
Male,"0.91 	 (0.81, 1.03)","1.25 	 (0.94, 1.66)"
Female,"1.04 	 (0.93, 1.15)","0.80 	 (0.59, 1.08)"
No Balance Impairment,"0.98 	 (0.88, 1.11)","0.95 	 (0.65, 1.37)"
Balance Impairment,"0.97 	 (0.87, 1.09)","1.00 	 (0.73, 1.36)"
No History of Falls,"1.03 	 (0.89, 1.20)","0.98 	 (0.71, 1.35)"
History of Falls,"0.95 	 (0.87, 1.03)","0.97 	 (0.76, 1.26)"
